User_ID,Age,Gender,Location,Fashion_Item,Brand,Price,Rating,Review_Text,Sentiment,Purchase_Decision,Trendy_Score,Review_Date
0e9a893c-69a7-466b-90e2-a9e81734f5eb,26,Female,Eritrea,Jeans,Uniqlo,143.0,3,Care central fish tend top term so address early research age as old.,Positive,Yes,93,2020-08-21
3d7e7bbf-692b-4eed-950e-95178ff22d12,49,Male,Venezuela,T-shirt,Zara,414.0,2,Common seat want only she hair purpose option become old soon story.,Neutral,Yes,89,2023-11-14
8f63e022-0599-424c-94d8-82c3e17ebdc2,50,Female,Syrian Arab Republic,Jacket,Nike,250.0,3,Total pay ever guess if culture message better apply drug various experience soon team reveal order according war week health.,Positive,No,75,2023-10-31
d77cf66b-a57c-492a-ba4c-c8334c1467a8,49,Female,Paraguay,Shoes,H&M,172.0,3,System certainly person data their turn by be resource turn behavior marriage behind affect room read.,Positive,Yes,12,
cc6106d6-d474-4bdb-9fb9-b2118efb230a,27,Male,Italy,Dress,H&M,256.0,4,Hold instead down candidate analysis too effect three matter feel candidate indicate particular foot want factor form.,Negative,Yes,37,2022-02-04
1abbc879-c224-4d19-9be1-97cd16092601,27,Male,Slovakia (Slovak Republic),Shoes,Adidas,44.0,2,Name study wonder trouble child lay medical there fly write tend us finally rise brother.,Positive,Yes,87,2024-10-03
1724dc84-a723-4187-b544-7a6f96fd0b6c,24,Male,Tuvalu,Jeans,H&M,196.0,2,Prepare argue pattern food last heavy well explain represent state color image.,Positive,No,67,2021-05-11
8ca95d9b-fcff-4c80-ace9-189e411dd593,39,Male,French Polynesia,Jeans,Adidas,285.0,1,Truth officer floor friend option tough perhaps rise woman yet.,Neutral,No,32,2022-01-20
1ffc63ee-94c2-4c16-b20a-19e6436a0f78,38,Female,Niger,Jeans,Nike,296.0,1,Finally example project manager learn pretty response fact natural even project that term number.,Positive,Yes,1,2025-02-25
47910e3d-3678-4677-a070-1c036be80fd2,33,Female,Trinidad and Tobago,Jacket,Nike,410.0,1,Industry shake sing idea establish visit whether religious population close itself their last low expert arrive fall white paper.,Positive,Yes,53,2023-07-31
621bec5d-c14c-45e0-80bc-3cabcee4d8c8,40,Male,Isle of Man,Shoes,H&M,296.0,1,Worker key reflect itself blood call alone real cost hour actually eye market question about.,Positive,Yes,4,2023-05-08
f69b78d2-3a9d-4374-b36b-ac09e683efc6,24,Other,Oman,Dress,H&M,456.0,3,Structure house material shake major fire might knowledge case professor sense development surface type discover admit return.,Negative,Yes,41,2023-12-03
5ac758a9-6e5c-4e92-869b-e1a20a5bc4d3,22,Male,Mayotte,Shoes,H&M,366.0,4,Near near young address watch kitchen fish member to.,Negative,Yes,21,2020-11-17
0a389878-c16d-4ae2-a887-281144dcc882,46,Male,Syrian Arab Republic,Shoes,H&M,,3,Break later certain production executive thus article value wall environment nearly financial theory strategy indicate.,Positive,Yes,97,2022-01-14
dc81bc2a-a4a7-4adf-a2d7-aef39b963aae,36,Male,Gambia,Jeans,Adidas,,5,Already prepare take former likely herself middle name himself project someone so wrong attention decision growth leg writer alone mind.,Positive,Yes,23,2024-09-12
d0078c4b-7302-4d34-b409-5b75219d6e5d,41,Female,Libyan Arab Jamahiriya,Jacket,Zara,254.0,5,Hundred our run price office keep guy those television half.,Positive,Yes,20,2020-12-18
f06d2cee-0f8c-4d4e-a1bd-c1502cd4078d,31,Female,Serbia,Jeans,Nike,381.0,4,Act its available area treatment contain me stop score girl.,Positive,Yes,36,2023-07-11
588a9dd9-ecfa-4695-9a20-f5c5b4531fdf,33,Male,Comoros,Jacket,H&M,243.0,4,Miss guess learn each car within computer camera against involve before material decide foreign Democrat.,Positive,Yes,97,2021-07-05
77604cb9-c7b7-4b43-8d34-db0428de6ded,56,Other,Malaysia,Dress,Nike,,1,Top weight watch share town nor win prevent project.,Neutral,Yes,55,2023-09-29
89c11f2c-5829-4ee1-ac9c-b315a625d93b,28,Male,Malawi,Shoes,Zara,20.0,5,Subject mother pull majority thing only economic animal better long walk just participant week.,Neutral,Yes,49,2023-11-02
13f57594-6503-493b-83bd-069651068313,46,Male,France,Jacket,Uniqlo,240.0,1,Choose mention camera together attack some before reduce culture cover yet red position environmental.,Neutral,Yes,70,2022-10-16
b3f1edd9-5879-4e38-9eaa-6ef1a6aae56b,31,Female,Congo,Bag,Nike,496.0,3,Music real thing cut really service evidence their treat item popular strategy Congress recent rich cup treat site.,Neutral,No,40,2024-02-24
89c4836d-9ff1-48f2-b84e-07410e9451cd,43,Female,Bhutan,Bag,Adidas,365.0,3,Attention point resource hour knowledge customer either south director time place his international smile product treatment determine.,Neutral,Yes,81,
3e3c043e-62b4-476a-8bd7-66c160effddc,35,Male,Marshall Islands,Jacket,Nike,57.0,4,Imagine just including every show senior view for as often truth maintain assume thing.,Negative,Yes,8,2022-05-27
31cc332a-ea73-4a3c-91a7-9d00d16936e5,19,Male,Montenegro,T-shirt,Nike,52.0,3,Decade second human far off rather finish staff lot agreement audience strong number model ever much allow inside.,Positive,No,9,2021-08-21
3b52eab5-8164-4f1e-b695-70a8b30a7b38,31,Male,Kenya,Shoes,Gucci,130.0,4,Style list growth behind certainly kid everybody throw effect certainly else part among near better book.,Positive,Yes,11,2021-07-03
71a301dc-e206-42ec-9f23-9582894cc30d,23,Male,France,Jeans,Nike,292.0,3,Management middle teach style chance evidence nature blood little director out close.,Negative,Yes,88,2021-01-09
e4b4723d-a498-414e-a4ca-e0c58e410cf1,26,Female,Austria,Shoes,Zara,420.0,5,Detail again big president food exactly the shoulder production blood.,Positive,Yes,6,2020-12-07
8a4fc711-68d2-4704-8f08-04f0eaa730b9,59,Female,Estonia,Jacket,Gucci,335.0,5,Include argue action federal operation cultural she apply view artist close short likely guy later.,Positive,No,70,2022-08-17
3fbd3e56-68a9-4f3b-bda9-d246f76e7caa,55,Male,Guernsey,Dress,Nike,127.0,5,Science may fact exactly inside husband fight which fall thank job side company grow popular particular wide make teach energy.,Positive,Yes,64,
e5fcb1ab-82ab-4f5c-82fd-92425eb06a14,50,Female,Uganda,Jacket,Zara,36.0,1,Shoulder ten tough late explain response poor trip anyone trial figure road air sign director green.,Positive,Yes,74,2023-01-31
44df087f-f9f3-4d9b-ace8-64e362b8c95f,33,Male,Botswana,Bag,Nike,127.0,2,Risk smile although actually reach call wife need life later understand rich according drive us outside together idea play difficult.,Positive,Yes,91,2024-03-29
a43c5975-ec65-440b-b4d5-4b0b91114cbb,44,Female,American Samoa,Jeans,Adidas,,1,So billion chance at already herself protect into he air possible natural.,Positive,Yes,24,2023-04-01
84e33dd8-fe30-4b0f-8881-e96d145767a3,53,Female,Marshall Islands,T-shirt,Nike,475.0,5,Attorney general ahead plan end possible because late community win but both.,Positive,Yes,65,2020-08-24
cf8c4d82-1b62-4c86-b04e-628769a0fafe,22,Other,Botswana,T-shirt,Adidas,466.0,4,Everything glass there either notice site green reality dream open smile.,Positive,No,77,2023-08-20
60f8b7fd-326e-4336-9d0e-751561a18e07,36,Female,Mauritania,Jeans,Nike,83.0,5,Pull feeling sign teach police politics to while doctor road behavior main couple provide history produce.,Positive,Yes,36,2024-06-09
1636df5c-95a8-458d-8d70-e4c18c2b6977,46,Male,Cape Verde,Shoes,Zara,365.0,1,Try perhaps our year western ten bill doctor lot those already brother mention dinner whose raise collection staff.,Neutral,Yes,66,2020-06-19
55ad305a-bec9-4f11-b28b-4ebbf4ed5c31,32,Male,Antarctica (the territory South of 60 deg S),Bag,Adidas,14.0,1,Also citizen dinner information offer soon away able voice seat church size market force.,Neutral,Yes,60,2021-04-03
ec42f840-bada-49cf-b766-0c45a2a1625d,44,Female,Macedonia,Bag,Gucci,165.0,2,Special PM conference break food expect sort Congress human.,Positive,Yes,10,
43f29829-26bd-47bb-8f70-c61e46102b30,18,Male,Australia,Dress,Zara,68.0,4,Full science front last part operation story indeed magazine process ground affect campaign conference add young.,Positive,Yes,57,2022-01-08
